Actor1,Actor10,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
Jonah Hill,,Channing Tatum,Ice Cube,,,,,,,"Jonah Hill, Channing Tatum, Ice Cube",11 wins & 21 nominations total,"$138,447,667 ",United States,N/A,"Phil Lord, Christopher Miller","Action, Comedy, Crime",English,69,"In 2005, Schmidt and Jenko are high school students, one an honor roll geek, the other a cool, athletic underachiever. By 2012, they are rookie cops, paired together, on bike patrol yearning to make arrests. After a screw up, they're sent undercover back to high school to find the source of a dangerous synthetic drug. They mix up their names, and Schmidt gets the no-brainer classes where he auditions for Peter Pan and falls in love with Wendy; Jenko gets AP classes where he falls in with high-achieving dweebs. This second chance at high school gives Schmidt delusions of grandeur, which threaten the operation. Can they sort out their relationship as they stumble onto the bad guys?",https://m.media-amazon.com/images/M/MV5BMTg2NjJiODctM2IyMS00MmQ5LWI1YmQtNTBjMTI4M2U2YzA5XkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",16-Mar-12,TRUE,109 min,21 Jump Street,movie,N/A,"Michael Bacall, Jonah Hill, Patrick Hasburgh",2012,tt1232829,7.2,"633,925"
Joseph Gordon-Levitt,,Seth Rogen,Anna Kendrick,,,,,,,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick",12 wins & 28 nominations total,"$35,014,192 ",United States,N/A,Jonathan Levine,"Comedy, Drama, Romance",English,72,"Adam is a 27 year old writer of radio programs and is diagnosed with a rare form of spinal cancer. With the help of his best friend, his mother, and a young therapist at the cancer center, Adam learns what and who the most important things in his life are.",https://m.media-amazon.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",30-Sep-11,TRUE,100 min,50/50,movie,N/A,Will Reiser,2011,tt1306980,7.6,"349,615"
Zooey Deschanel,,Joseph Gordon-Levitt,Geoffrey Arend,,,,,,,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend",17 wins & 58 nominations total,"$32,391,374 ",United States,N/A,Marc Webb,"Comedy, Drama, Romance","English, French, Swedish",76,"After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Summer became more than just friends. Through the trials and tribulations of Tom and Summer's so-called relationship, Tom could always count on the advice of his two best friends, McKenzie and Paul. However, it is Tom's adolescent sister, Rachel, who is his voice of reason. After all is said and done, Tom is the one who ultimately has to make the choice to listen or not.",https://m.media-amazon.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",7-Aug-09,TRUE,95 min,500 Days of Summer,movie,N/A,"Scott Neustadter, Michael H. Weber",2009,tt1022603,7.6,"608,366"
Justin Long,,Jonah Hill,Blake Lively,,,,,,,"Justin Long, Jonah Hill, Blake Lively",4 nominations total,"$36,323,505 ",United States,N/A,Steve Pink,Comedy,English,47,"After being rejected from every college he applied, Bartleby Gaines decided to create a fictitious university, South Harmon Institute of Technology, with his friends, to fool their parents. But when their deception works too well and every other college rejects starts to apply to his school, B. must find a way to give the education and future his students and friends deserves, including his own, while trying to win the heart of the girl next door.",https://m.media-amazon.com/images/M/MV5BMTkzNzY5OTc3Nl5BMl5BanBnXkFtZTcwNjE4NDQzMQ@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",18-Aug-06,TRUE,93 min,Accepted,movie,N/A,"Mark Perez, Adam Cooper, Bill Collage",2006,tt0384793,6.4,"143,007"
Evan Rachel Wood,,Jim Sturgess,Joe Anderson,,,,,,,"Evan Rachel Wood, Jim Sturgess, Joe Anderson",Nominated for 1 Oscar. 2 wins & 18 nominations total,"$24,602,291 ","United Kingdom, United States",N/A,Julie Taymor,"Drama, Fantasy, History",English,56,"Across The Universe is a fictional love story set in the 1960s amid the turbulent years of anti-war protest, the struggle for free speech and civil rights, mind exploration and rock and roll. At once gritty, whimsical and highly theatrical, the story moves from high schools and universities in Massachusetts, Princeton and Ohio to the Lower East Side of Manhattan, the Detroit riots, Vietnam and the dockyards of Liverpool. A combination of live action and animation, the film is paired with many songs by The Beatles that defined the time.",https://m.media-amazon.com/images/M/MV5BYTEyZTAyMjAtYjAwMi00YTkzLWE0MTAtYzZiNjY5YTcyMzlhXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",12-Oct-07,TRUE,133 min,Across the Universe,movie,N/A,"Dick Clement, Ian La Frenais, Julie Taymor",2007,tt0445922,7.3,"116,796"
Colin Farrell,,Anthony Hopkins,Rosario Dawson,,,,,,,"Colin Farrell, Anthony Hopkins, Rosario Dawson",6 wins & 19 nominations total,"$34,297,191 ","United States, United Kingdom, Germany, Netherlands, France, Italy, Morocco, Thailand",N/A,Oliver Stone,"Action, Biography, Drama",English,40,"Conquering ninety percent of the known world by the age of twenty-five, Alexander the Great (Colin Farrell) led his armies through twenty-two thousand miles of sieges and conquests in just eight years. Coming out of tiny Macedonia, Alexander led his armies against the mighty Persian Empire, drove west to Egypt, and finally made his way east to India. This movie concentrated on those eight years of battles, as well as his relationship with his boyhood friend and battle mate, Hephaistion (Jared Leto). Alexander died young, of illness, at the age of thirty-two. Alexander's conquests paved the way for the spread of Greek culture (facilitating the spread of Christianity centuries later), and removed many of the obstacles that might have prevented the expansion of the Roman Empire. In other words, the world we know today might never have been if not for Alexander's bloody, yet unifying, conquest.",https://m.media-amazon.com/images/M/MV5BMTA1NDQ3OTY2NDVeQTJeQWpwZ15BbWU3MDI5MDc0MzM@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",24-Nov-04,TRUE,175 min,Alexander,movie,N/A,"Oliver Stone, Christopher Kyle, Laeta Kalogridis",2004,tt0346491,5.6,"182,330"
Christian Bale,,Amy Adams,Bradley Cooper,,,,,,,"Christian Bale, Amy Adams, Bradley Cooper",Nominated for 10 Oscars. 70 wins & 228 nominations total,"$150,117,807 ","United States, China",N/A,David O. Russell,"Crime, Drama","English, Arabic",90,"A fictional film set in the alluring world of one of the most stunning scandals to rock our nation, American Hustle tells the story of brilliant con man Irving Rosenfeld (Christian Bale), who along with his equally cunning and seductive British partner Sydney Prosser (Amy Adams) is forced to work for a wild FBI agent Richie DiMaso (Bradley Cooper). DiMaso pushes them into a world of Jersey powerbrokers and mafia that's as dangerous as it is enchanting. Jeremy Renner is Carmine Polito, the passionate, volatile, New Jersey political operator caught between the con-artists and Feds. Irving's unpredictable wife Rosalyn (Jennifer Lawrence) could be the one to pull the thread that brings the entire world crashing down.",https://m.media-amazon.com/images/M/MV5BMGQ2NzEwZGEtYjk1MC00NWFmLTgyYTgtZmRhMTRmOTBlN2U5XkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",20-Dec-13,TRUE,138 min,American Hustle,movie,N/A,"Eric Warren Singer, David O. Russell",2013,tt1800241,7.2,"515,479"
Woody Allen,,Sharon Stone,Gene Hackman,,,,,,,"Woody Allen, Sharon Stone, Gene Hackman",Nominated for 1 BAFTA Award6 wins & 14 nominations total,"$90,757,863 ","United States, United Kingdom",N/A,"Eric Darnell, Tim Johnson, Lawrence Guterman","Animation, Adventure, Comedy",English,73,"In an anthill with millions of inhabitants, Z 4195 is a worker ant. Feeling insignificant in a conformity system, he accidentally meets beautiful Princess Bala, who has a similar problem on the other end of the social scale. In order to meet her again, Z switches sides with his soldier friend Weaver - only to become a hero in the course of events. By this he unwillingly crosses the sinister plans of ambitious General Mandible (Bala's fiancé, by the way), who wants to divide the ant society into a superior, strong race (soldiers) and an inferior, to-be-eliminated race (the workers). But Z and Bala, both unaware of the dangerous situation, try to leave the oppressive system by heading for Insectopia, a place where food paves the streets.",https://m.media-amazon.com/images/M/MV5BYzdlMzZhZjctY2JjYy00OGRiLThjMTEtODRmZTg2ZjI5MjEzXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",2-Oct-98,TRUE,83 min,Antz,movie,N/A,"Todd Alcott, Chris Weitz, Paul Weitz",1998,tt0120587,6.5,"169,324"
Sam Worthington,,Zoe Saldaña,Sigourney Weaver,,,,,,,"Sam Worthington, Zoe Saldaña, Sigourney Weaver",Won 3 Oscars. 91 wins & 131 nominations total,"$785,221,649 ","United States, United Kingdom",N/A,James Cameron,"Action, Adventure, Fantasy","English, Spanish",83,"When his brother is killed in a robbery, paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridge's intentions of driving off the native humanoid ""Na'vi"" in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs, Jake gathers knowledge, of the Indigenous Race and their Culture, for the cooperating military unit spearheaded by gung-ho Colonel Quaritch, while simultaneously attempting to infiltrate the Na'vi people with the use of an ""avatar"" identity. While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri, the restless Colonel moves forward with his ruthless extermination tactics, forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora.",https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",18-Dec-09,TRUE,162 min,Avatar,movie,N/A,James Cameron,2009,tt0499549,7.9,"1,468,320"
John Krasinski,,Maya Rudolph,Allison Janney,,,,,,,"John Krasinski, Maya Rudolph, Allison Janney",3 wins & 10 nominations total,"$9,451,946 ","United States, United Kingdom",N/A,Sam Mendes,"Comedy, Drama, Romance",English,58,"Burt Farlander and Verona De Tessant are a couple steeped in eccentricity and irregularity but are very much in love. So when they find out that Verona is pregnant they take it in stride. Verona is enjoying pregnancy, Burt is already practicing skills that he believes a good father should have, and they live in the same state as Burt's parents Jerry and Gloria so their child-to-be can have grandparents. But when Burt and Verona go to dinner at his parents', they shake up the younger couple with surprising news: they have decided to move to Antwerp, Belgium. Verona lost her parents when she was relatively young, so she is very much alarmed, but the resilient couple quickly find a way to turn it into a positive: they embark on a search for the exact right place for them to raise their daughter-to-be. They go to every place they can think of, meeting family and friends along the way, with laughter and sadness. This is a road trip the parents-to-be will always remember.",https://m.media-amazon.com/images/M/MV5BMTYxNzE3NjAwMl5BMl5BanBnXkFtZTcwODkxOTI0Mg@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",26-Jun-09,TRUE,98 min,Away We Go,movie,N/A,"Dave Eggers, Vendela Vida",2009,tt1176740,7,"56,021"
Christian Bale,,Michael Caine,Ken Watanabe,,,,,,,"Christian Bale, Michael Caine, Ken Watanabe",Nominated for 1 Oscar. 15 wins & 79 nominations total,"$206,863,479 ","United States, United Kingdom",N/A,Christopher Nolan,"Action, Crime, Drama","English, Mandarin",70,"When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia, where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as ""Batman"". But it doesn't stay quiet for long.",https://m.media-amazon.com/images/M/MV5BMzA2NDQzZDEtNDU5Ni00YTlkLTg2OWEtYmQwM2Y1YTBjMjFjXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",15-Jun-05,TRUE,140 min,Batman Begins,movie,N/A,"Bob Kane, David S. Goyer, Christopher Nolan",2005,tt0372784,8.2,"1,688,565"
Brendan Fraser,,Elizabeth Hurley,Frances O'Connor,,,,,,,"Brendan Fraser, Elizabeth Hurley, Frances O'Connor",1 win & 3 nominations total,"$37,886,980 ","United States, Germany",N/A,Harold Ramis,"Comedy, Fantasy","English, Spanish, Russian",49,"Elliot Richards, a socially awkward IT worker, is given seven wishes to get the girl of his dreams when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include being a 7 foot basketball star, a wealthy, powerful man, and a sensitive caring guy. But, as could be expected, the Devil must put her own little twist on each his fantasies.",https://m.media-amazon.com/images/M/MV5BZGU5ZmZjNDUtYzBiZS00NWVlLTgwMjAtM2M2OGFmM2M4MmRkXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",20-Oct-00,TRUE,93 min,Bedazzled,movie,N/A,"Peter Cook, Dudley Moore, Larry Gelbart",2000,tt0230030,6.1,"117,595"
Natalie Portman,,Mila Kunis,Vincent Cassel,,,,,,,"Natalie Portman, Mila Kunis, Vincent Cassel",Won 1 Oscar. 98 wins & 279 nominations total,"$107,770,258 ",United States,N/A,Darren Aronofsky,"Drama, Thriller","English, French, Italian",79,"Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.",https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",17-Dec-10,TRUE,108 min,Black Swan,movie,N/A,"Mark Heyman, Andres Heinz, John J. McLaughlin",2010,tt0947798,8,"875,525"
Harrison Ford,,Rutger Hauer,Sean Young,,,,,,,"Harrison Ford, Rutger Hauer, Sean Young",Nominated for 2 Oscars. 13 wins & 22 nominations total,"$32,914,489 ","United States, United Kingdom, Hong Kong",N/A,Ridley Scott,"Action, Drama, Sci-Fi","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean",84,"In the early twenty-first century, the Tyrell Corporation, during what was called the Nexus phase, developed robots, called ""replicants"", that were supposed to aid society, the replicants which looked and acted like humans. When the superhuman generation Nexus 6 replicants, used for dangerous off-Earth endeavors, began a mutiny on an off-Earth colony, replicants became illegal on Earth. Police units, called ""blade runners"", have the job of destroying - or in their parlance ""retiring"" - any replicant that makes its way back to or created on Earth, with anyone convicted of aiding or assisting a replicant being sentenced to death. It's now November, 2019 in Los Angeles, California. Rick Deckard, a former blade runner, is called out of retirement when four known replicants, most combat models, have made their way back to Earth, with their leader being Roy Batty. One, Leon Kowalski, tried to infiltrate his way into the Tyrell Corporation as an employee, but has since been able to escape. Beyond following Leon's trail in hopes of finding and retiring them all, Deckard believes part of what will help him is figuring out what the replicants wanted with the Tyrell Corporation in trying to infiltrate it. The answer may lie with Tyrell's fail-safe backup mechanism. Beyond tracking the four, Deckard faces a possible dilemma in encountering a fifth replicant: Rachael, who works as Tyrell's assistant. The issue is that Dr. Elden Tyrell is experimenting with her, to provide her with fake memories so as to be able to better control her. With those memories, Rachael has no idea that she is not human. The problem is not only Rachael's assistance to Deckard, but that he is beginning to develop feelings for her.",https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",25-Jun-82,TRUE,117 min,Blade Runner,movie,N/A,"Hampton Fancher, David Webb Peoples, Philip K. Dick",1982,tt0083658,8.1,"871,614"
